covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age,0.011381525919965206,1.0114465419123746,0.0010618006109842444,0.009300434963673464,0.013462616876256949,1.0093438183995684,1.0135536459406114,0.0,10.719080213577021,8.282284882537735e-27,86.6420297345763
sofa,0.0945624625220919,1.0991778184075423,0.010529518309200915,0.07392498586150302,0.11519993918268077,1.0767260327909633,1.1220977664554372,0.0,8.98070165654788,2.6904545993561084e-19,61.688783840923705
charlson_comorbidity_index,0.12477937024939328,1.132898474383607,0.004413496408979644,0.11612907624189632,0.13342966425689023,1.1231408335754325,1.142740887778883,0.0,28.272226526687266,7.588709282041356e-176,581.7354901729997
gender_M,-0.14928390587659313,0.861324545083194,0.023836908400482595,-0.19600338784431928,-0.10256442390886697,0.8220094498334242,0.9025200040134685,0.0,-6.262720960641472,3.783172443177847e-10,31.299684410591684
ethnicity_ASIAN___CHINESE,-0.038354743459458114,0.9623714853402252,0.222032846059757,-0.4735311251215079,0.3968216382025917,0.6227991990179245,1.4870906662314058,0.0,-0.1727435563706438,0.8628530053781607,0.2128132903786149
ethnicity_BLACK_AFRICAN_AMERICAN,-0.29123101237320975,0.7473430125919933,0.09957640088531632,-0.4863971718185521,-0.09606485292786743,0.6148375626603169,0.908405101427816,0.0,-2.9246991233256665,0.0034478941115632933,8.180068816229358
ethnicity_HISPANIC_LATINO___PUERTO_RICAN,-0.22269220443344817,0.8003611590024727,0.2296332257671615,-0.6727650565908398,0.2273806477239435,0.5102956289529162,1.25530760699282,0.0,-0.9697734449772036,0.3321594320883664,1.5900522127335488
ethnicity_OTHER,-0.25363659493129714,0.775973743605484,0.09824970520461729,-0.4462024786240245,-0.06107071123856975,0.6400541616544686,0.94075671535149,0.0,-2.5815506967992143,0.00983575439081501,6.6677485748986145
ethnicity_UNABLE_TO_OBTAIN,0.010214588156418573,1.0102669351445104,0.19056477020433463,-0.3632854981662289,0.38371467447906604,0.6953878731935277,1.4677266020746909,0.0,0.05360166071339365,0.9572525333582239,0.06302852173043236
ethnicity_UNKNOWN,0.4264503914827279,1.5318105342085415,0.08917544037473661,0.2516697400427451,0.6012310429227107,1.2861711962904085,1.8243632880909633,0.0,4.7821506649216525,1.7342960950926872e-06,19.13721833947599
ethnicity_WHITE,-0.1598035551359134,0.8523112046804573,0.07264299067869308,-0.3021812005954307,-0.017425909676396123,0.739204108528802,0.9827250433843441,0.0,-2.1998482392160845,0.027817664128654777,5.167854909056709
ethnicity_WHITE___OTHER_EUROPEAN,-0.17967671049920114,0.8355402891552486,0.19270995392292561,-0.5573812796505087,0.19802785865210637,0.5727068609480482,1.2189963529439285,0.0,-0.9323686028748825,0.3511460649543996,1.5098568268886647
ethnicity_WHITE___RUSSIAN,-0.09707271023221488,0.907490019924284,0.2551156503348478,-0.5970901967810303,0.40294477631660053,0.5504108955961599,1.496224262367097,0.0,-0.3805047244447909,0.7035707902229942,0.5072325064424519
insurance_Medicare,-0.046307636038659464,0.9547482020526321,0.05762034772907464,-0.15924144236432006,0.06662617028700113,0.8527904343719268,1.0688958184598758,0.0,-0.8036681114177501,0.4215886753390983,1.2460919808808206
insurance_OTHER,1.4527146663272434,4.274703171142606,7.088934213827901,-12.441341081549204,15.346770414203693,3.951793302089933e-06,4623998.727796011,0.0,0.20492709094316772,0.8376290888540968,0.25561655040177517
insurance_Other,-0.34439537974146217,0.7086486873176283,0.17338242410694252,-0.6842186865433187,-0.004572072939605598,0.5044842359557742,0.9954383630750789,0.0,-1.986333860051689,0.04699626529061119,4.411310076831215
insurance_Private,-0.1900042219463751,0.8269556425736146,0.06790976010241412,-0.32310490594586183,-0.05690353794688832,0.7238979091895636,0.9446851912446427,0.0,-2.7978926984844503,0.005143719736995691,7.60297224717928
insurance_UNKNOWN,0.394707788571522,1.483950500263844,0.19132810578202916,0.019711592008475165,0.7697039851345688,1.019907148232999,2.1591270254831456,0.0,2.0629890572438607,0.039113667859188,4.676183359555435
language_English,-0.2584450040182644,0.7722515006107694,0.10614306030536491,-0.4664815794256427,-0.05040842861088615,0.6272051622035736,0.9508409945165901,0.0,-2.4348742468394944,0.014896965896001781,6.068837666639518
language_OTHER,-0.14683014847811693,0.863440621665738,0.14344270212251256,-0.4279726784833487,0.13431238152711483,0.6518292235184343,1.143750050232953,0.0,-1.0236153272734028,0.3060170028046852,1.7083162812487545
language_Russian,-0.35086927074183755,0.7040757911453731,0.21520579132938764,-0.7726648710118795,0.07092632952820443,0.4617808408002768,1.0735021375462095,0.0,-1.6303895381923408,0.10301919434877153,3.2790149321205964
language_Spanish,-0.2775210550733368,0.7576596118563399,0.16873470028262336,-0.6082349905694391,0.05319288042276549,0.5443107353198213,1.054633043570242,0.0,-1.6447183336237359,0.10002791023332881,3.321525491516384
language_UNKNOWN,0.10175565134333811,1.1071129171203806,0.24672134624711511,-0.381809301518244,0.5853206042049202,0.6826252163864084,1.795566559558469,0.0,0.41243148552464554,0.6800231894673769,0.5563441503491661
sofa_x_ethnicity_ASIAN___CHINESE,0.02640924797272179,1.0267610623854462,0.024511035375039857,-0.02163149858614355,0.07444999453158713,0.978600784388308,1.0772914717106634,0.0,1.0774431829842213,0.2812823208909717,1.8299092154108652
sofa_x_ethnicity_BLACK_AFRICAN_AMERICAN,0.028536682810474365,1.0289477548377204,0.011400602765314625,0.0061919119884099524,0.05088145363253878,1.0062111215028537,1.0521981516207906,0.0,2.503085441876356,0.012311581818317954,6.343840055504485
sofa_x_ethnicity_HISPANIC_LATINO___PUERTO_RICAN,0.024335712372707714,1.0246342425502337,0.024383481032980044,-0.023455032269648686,0.07212645701506412,0.9768178989651315,1.074791250363818,0.0,0.9980409417257643,0.3182595060240002,1.651724488572616
sofa_x_ethnicity_OTHER,0.02991426703947584,1.0303661938225201,0.011221002639554443,0.007921505995520252,0.05190702808343143,1.0079529641345555,1.0532778127041482,0.0,2.665917476396179,0.007677853725736067,7.025081209651147
sofa_x_ethnicity_UNABLE_TO_OBTAIN,0.046303802026820294,1.047392562610329,0.019574832160776424,0.007937835988282141,0.08466976806535845,1.0079694241335593,1.0883575969126538,0.0,2.3654763242160888,0.01800689459728431,5.795306788952006
sofa_x_ethnicity_UNKNOWN,0.01755042652537926,1.0177053402010217,0.009722901711579093,-0.0015061106545386123,0.03660696370529713,0.9984950229609251,1.0372852499578349,0.0,1.8050605720387252,0.07106520401851914,3.814712850432784
sofa_x_ethnicity_WHITE,0.025049367839591812,1.0253657393662912,0.008304054713884342,0.008773719674728439,0.041325016004455185,1.0088123215646576,1.042190779188253,0.0,3.016522494451943,0.0025569224562544575,8.611375876008024
sofa_x_ethnicity_WHITE___OTHER_EUROPEAN,0.02876400911078172,1.0291816883126454,0.02290942233317265,-0.01613763356885425,0.07366565179041769,0.9839918804207528,1.0764468372494589,0.0,1.2555536622646166,0.20927784061990903,2.2565085349432255
sofa_x_ethnicity_WHITE___RUSSIAN,0.011576383044560956,1.0116436486804192,0.031750921944975155,-0.05065428044353279,0.0738070465326547,0.9506072572490778,1.076599051933468,0.0,0.3645999024728482,0.7154100876523856,0.4831576336642811
sofa_x_insurance_Medicare,-0.004486627643619291,0.9955234222345487,0.0060140767957417695,-0.01627400156353121,0.007300746276292629,0.9838577045700952,1.0073274616989887,0.0,-0.746021009707761,0.45565472360204584,1.133987071440478
sofa_x_insurance_OTHER,0.48423822210908113,1.6229382193707569,2.3629780712759674,-4.147113693849736,5.115590138067898,0.015809983145142224,166.59906843124145,0.0,0.2049270909431677,0.8376290888540968,0.25561655040177517
sofa_x_insurance_Other,0.020105003510137172,1.020308470372938,0.017277346220376986,-0.013757972830230947,0.05396797985050529,0.9863362355443384,1.0554508059214127,0.0,1.1636627091737752,0.24456072732102926,2.0317353469835933
sofa_x_insurance_Private,0.01002184264278606,1.0100722294901134,0.007271109285760397,-0.004229269684959073,0.024272954970531193,0.9957796610814325,1.0245699411847047,0.0,1.3783100004304223,0.1681075969048511,2.5725431723995076
sofa_x_insurance_UNKNOWN,0.012054162025492582,1.0121271062356842,0.01945290162931866,-0.02607282456277253,0.05018114861375769,0.9742641366654446,1.0514615499274937,0.0,0.6196588177531837,0.5354824341396209,0.9010888450197924
sofa_x_language_English,0.04655424227725304,1.0476549047151507,0.009866003486256441,0.027217230772843805,0.06589125378166227,1.0275910029073707,1.0681105578662309,0.0,4.718652526537632,2.374119314984113e-06,18.68417612768456
sofa_x_language_OTHER,0.017034296153559676,1.017180207095611,0.015804480083734505,-0.01394191560494053,0.04801050791205988,0.9861548228056687,1.0491816799753755,0.0,1.0778143958744244,0.2811165937891804,1.8307594790531831
sofa_x_language_Russian,0.07330461123108403,1.0760582664303793,0.027915281730299203,0.01859166442140863,0.12801755804075943,1.018765565445793,1.136572958516199,0.0,2.6259670935550443,0.008640316994334886,6.85470004197639
sofa_x_language_Spanish,0.030201884527942223,1.0306625877813878,0.01796896008780115,-0.0050166300837857225,0.06542039913967017,0.9949959321893749,1.0676077514355593,0.0,1.6807808788248026,0.09280548402856494,3.4296461306821135
sofa_x_language_UNKNOWN,0.047246420629405275,1.0483803197900634,0.024330272365172705,-0.00044003694038338703,0.09493287819919394,0.9995600598616717,1.0995850465205854,0.0,1.9418779995671414,0.052151871352759484,4.2611371682299275
