age_group,gender,ethnicity,insurance,Group Size,Observed Mortality Rate,Avg Predicted Risk (Full Model)
65-79,F,WHITE,Private,330,0.15151515151515152,0.42277506178619323
<=49,M,BLACK/AFRICAN AMERICAN,Medicare,53,0.1509433962264151,0.28061276129705853
<=49,F,WHITE - OTHER EUROPEAN,Medicaid,20,0.15,0.382281442994607
50-64,M,WHITE - OTHER EUROPEAN,Private,54,0.14814814814814814,0.2935261058064397
80+,M,WHITE - RUSSIAN,Medicaid,7,0.14285714285714285,0.5597495059650951
50-64,M,WHITE,Private,1887,0.14043455219925807,0.33581023054591125
50-64,M,BLACK/AFRICAN AMERICAN,Medicaid,115,0.1391304347826087,0.3943207847425578
50-64,M,OTHER,Other,36,0.1388888888888889,0.2761300385969051
50-64,F,OTHER,Medicaid,130,0.13846153846153847,0.4314538486928299
50-64,M,WHITE,Other,148,0.13513513513513514,0.3167763038213036
<=49,M,WHITE,Medicaid,386,0.13471502590673576,0.2639905480558667
80+,F,HISPANIC/LATINO - PUERTO RICAN,Medicare,15,0.13333333333333333,0.5035830663382355
65-79,F,ASIAN - CHINESE,Medicaid,15,0.13333333333333333,0.4686198800617201
<=49,F,OTHER,Other,15,0.13333333333333333,0.13765305506608866
<=49,M,OTHER,Medicaid,174,0.13218390804597702,0.2480566324476831
50-64,F,WHITE,UNKNOWN,23,0.13043478260869565,0.4854019359751808
<=49,M,BLACK/AFRICAN AMERICAN,Medicaid,94,0.1276595744680851,0.2856440531891508
65-79,F,BLACK/AFRICAN AMERICAN,Medicaid,55,0.12727272727272726,0.4851033523637074
50-64,F,BLACK/AFRICAN AMERICAN,Private,118,0.1271186440677966,0.3693847832469157
50-64,M,OTHER,Private,255,0.12549019607843137,0.3370153651635481
<=49,M,UNABLE TO OBTAIN,Private,24,0.125,0.20619110764970958
50-64,M,WHITE - RUSSIAN,Private,8,0.125,0.22364928881392793
<=49,F,WHITE,Other,24,0.125,0.17739391855240208
<=49,M,OTHER,Medicare,56,0.125,0.2568986693715701
<=49,F,BLACK/AFRICAN AMERICAN,Medicaid,130,0.12307692307692308,0.2827349769895471
65-79,F,BLACK/AFRICAN AMERICAN,Private,34,0.11764705882352941,0.40157729248954327
50-64,M,WHITE,UNKNOWN,43,0.11627906976744186,0.4516572556121312
50-64,M,BLACK/AFRICAN AMERICAN,Medicare,155,0.11612903225806452,0.3931906206949419
<=49,M,WHITE,UNKNOWN,69,0.11594202898550725,0.28251279106897975
<=49,M,WHITE,Other,78,0.11538461538461539,0.22296806420458637
<=49,M,WHITE,Medicare,275,0.11272727272727273,0.2588785048595724
<=49,F,BLACK/AFRICAN AMERICAN,Private,71,0.11267605633802817,0.2116348618957159
<=49,M,WHITE - OTHER EUROPEAN,Private,18,0.1111111111111111,0.2090559315148781
<=49,M,UNKNOWN,Other,36,0.1111111111111111,0.3065491465682768
65-79,F,WHITE,Other,9,0.1111111111111111,0.45029817396816774
<=49,M,WHITE,Private,631,0.10935023771790808,0.2207642620423311
<=49,M,OTHER,Private,158,0.10759493670886076,0.17069388312409528
<=49,F,OTHER,Medicaid,112,0.10714285714285714,0.2227353878274377
65-79,F,UNKNOWN,Medicaid,19,0.10526315789473684,0.7371469495225235
50-64,F,WHITE - OTHER EUROPEAN,Private,29,0.10344827586206896,0.3453400798922904
50-64,F,UNABLE TO OBTAIN,Medicare,10,0.1,0.4143862320990497
<=49,M,BLACK/AFRICAN AMERICAN,UNKNOWN,10,0.1,0.21761660435471158
65-79,M,OTHER,Private,80,0.1,0.3880659588160856
<=49,F,WHITE,Medicaid,318,0.09433962264150944,0.26908933009478725
<=49,F,WHITE,Medicare,181,0.09392265193370165,0.2733508058690024
<=49,M,OTHER,Other,64,0.09375,0.17284075406371477
<=49,M,HISPANIC/LATINO - PUERTO RICAN,Medicaid,43,0.09302325581395349,0.30222553680094405
50-64,F,UNABLE TO OBTAIN,Private,23,0.08695652173913043,0.42012242885203493
50-64,M,UNABLE TO OBTAIN,Private,49,0.08163265306122448,0.31930437167894393
<=49,F,OTHER,Private,86,0.08139534883720931,0.20450547649449816
<=49,M,OTHER,UNKNOWN,26,0.07692307692307693,0.20207968646116112
<=49,M,WHITE - OTHER EUROPEAN,Medicaid,13,0.07692307692307693,0.2792606132739516
<=49,F,OTHER,Medicare,27,0.07407407407407407,0.3247510456251452
<=49,F,ASIAN,Private,27,0.07407407407407407,0.207705535396075
<=49,F,WHITE,Private,415,0.07228915662650602,0.23030347035326715
50-64,F,ASIAN - CHINESE,Medicaid,16,0.0625,0.3894559944029857
<=49,M,BLACK/AFRICAN AMERICAN,Other,21,0.047619047619047616,0.20042035443559872
<=49,F,HISPANIC/LATINO - PUERTO RICAN,Medicaid,25,0.04,0.3250562026726804
<=49,M,BLACK/AFRICAN AMERICAN,Private,60,0.03333333333333333,0.1931779724212576
80+,M,UNABLE TO OBTAIN,Medicaid,1,0.0,0.43629214639034103
<=49,F,ASIAN - CHINESE,Medicaid,14,0.0,0.2591966482520217
<=49,F,ASIAN - CHINESE,Medicare,1,0.0,0.904341505681259
50-64,M,UNABLE TO OBTAIN,UNKNOWN,4,0.0,0.547549218683269
65-79,F,ASIAN,Private,5,0.0,0.6198666071406512
50-64,M,WHITE - RUSSIAN,UNKNOWN,1,0.0,0.5548280792139312
50-64,M,WHITE - OTHER EUROPEAN,Other,2,0.0,0.19430914726181772
50-64,M,WHITE - OTHER EUROPEAN,UNKNOWN,3,0.0,0.37979431418989346
50-64,M,WHITE - RUSSIAN,Medicaid,3,0.0,0.1790828799462437
65-79,F,ASIAN,Medicaid,12,0.0,0.5144722594728423
80+,M,WHITE - OTHER EUROPEAN,UNKNOWN,1,0.0,0.4444118012784313
<=49,F,HISPANIC/LATINO - PUERTO RICAN,Private,4,0.0,0.1974659813811318
<=49,F,HISPANIC/LATINO - PUERTO RICAN,Other,2,0.0,0.3952807789596235
<=49,F,BLACK/AFRICAN AMERICAN,UNKNOWN,1,0.0,0.1855347029358018
<=49,F,BLACK/AFRICAN AMERICAN,Other,9,0.0,0.1547103639110704
50-64,F,WHITE - RUSSIAN,Private,2,0.0,0.24645280933483926
50-64,F,OTHER,UNKNOWN,4,0.0,0.5087635628721014
50-64,M,ASIAN,Medicare,7,0.0,0.49027245164920485
65-79,F,WHITE - OTHER EUROPEAN,UNKNOWN,1,0.0,0.5074203228941095
50-64,F,WHITE - RUSSIAN,Medicaid,3,0.0,0.23978995214382268
65-79,M,ASIAN,UNKNOWN,1,0.0,0.7940645875108805
65-79,F,WHITE - RUSSIAN,Medicaid,6,0.0,0.3231853772874914
50-64,M,ASIAN - CHINESE,Other,3,0.0,0.4211824211421959
65-79,F,UNKNOWN,Other,3,0.0,0.35744638571674586
65-79,F,UNABLE TO OBTAIN,Other,2,0.0,0.4003254024695212
65-79,F,BLACK/AFRICAN AMERICAN,Other,2,0.0,0.3340930223137981
65-79,F,HISPANIC/LATINO - PUERTO RICAN,Other,1,0.0,0.2469041248936361
50-64,M,BLACK/AFRICAN AMERICAN,Other,30,0.0,0.38569769512575325
65-79,F,OTHER,Other,7,0.0,0.3027784808919632
50-64,M,ASIAN,UNKNOWN,1,0.0,0.36384785476903353
65-79,F,WHITE - OTHER EUROPEAN,Private,9,0.0,0.38659369476168054
50-64,M,HISPANIC/LATINO - PUERTO RICAN,Private,10,0.0,0.19930984909491223
65-79,M,ASIAN - CHINESE,Other,1,0.0,0.5139229528254357
65-79,M,BLACK/AFRICAN AMERICAN,Other,6,0.0,0.5506576882416554
50-64,F,HISPANIC/LATINO - PUERTO RICAN,Other,1,0.0,0.4652530401544026
50-64,F,ASIAN - CHINESE,Private,6,0.0,0.31260436370132066
50-64,F,ASIAN - CHINESE,Medicare,6,0.0,0.46472805390854055
<=49,M,WHITE - RUSSIAN,Private,1,0.0,0.1926915480265361
50-64,F,ASIAN,Other,1,0.0,0.508095186559667
<=49,M,WHITE - RUSSIAN,Medicare,1,0.0,0.08586210838807098
<=49,M,WHITE - RUSSIAN,Medicaid,2,0.0,0.5041977364577608
65-79,M,OTHER,UNKNOWN,1,0.0,0.30431830723841424
65-79,M,UNABLE TO OBTAIN,UNKNOWN,1,0.0,0.6814852154424146
65-79,M,HISPANIC/LATINO - PUERTO RICAN,Other,2,0.0,0.5622794885562132
80+,F,HISPANIC/LATINO - PUERTO RICAN,Medicaid,2,0.0,0.5687123972401602
<=49,M,WHITE - OTHER EUROPEAN,UNKNOWN,2,0.0,0.1539401610003533
80+,F,OTHER,UNKNOWN,1,0.0,0.7216888972582897
50-64,F,BLACK/AFRICAN AMERICAN,Other,7,0.0,0.25130638926150983
50-64,F,BLACK/AFRICAN AMERICAN,UNKNOWN,3,0.0,0.4344223493480562
65-79,M,WHITE - OTHER EUROPEAN,UNKNOWN,2,0.0,0.75010909657232
80+,F,ASIAN - CHINESE,UNKNOWN,1,0.0,0.6187449514946474
<=49,M,ASIAN,Other,2,0.0,0.09944885852800528
<=49,F,WHITE - RUSSIAN,UNKNOWN,1,0.0,0.3212579091390859
<=49,F,WHITE - RUSSIAN,Private,2,0.0,0.23734440929041384
<=49,F,WHITE - OTHER EUROPEAN,Private,3,0.0,0.14115867169852683
80+,F,WHITE - OTHER EUROPEAN,Private,1,0.0,0.6494754769658375
80+,F,UNABLE TO OBTAIN,Private,1,0.0,0.553297912943263
<=49,M,UNABLE TO OBTAIN,Other,6,0.0,0.21919953383090718
<=49,M,HISPANIC/LATINO - PUERTO RICAN,Private,10,0.0,0.22924659882421308
<=49,M,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,6,0.0,0.17287145495772263
<=49,M,HISPANIC/LATINO - PUERTO RICAN,Other,3,0.0,0.2014737849870346
<=49,M,ASIAN,Private,9,0.0,0.23208064541561604
<=49,F,UNABLE TO OBTAIN,Medicaid,2,0.0,0.26882110318339403
<=49,F,OTHER,UNKNOWN,5,0.0,0.3654044414528861
80+,M,BLACK/AFRICAN AMERICAN,Other,1,0.0,0.6364707407650749
80+,M,OTHER,Other,1,0.0,0.23202516130301407
<=49,F,ASIAN,Other,1,0.0,0.2374703314248509
<=49,F,ASIAN,OTHER,0,,
<=49,F,ASIAN,UNKNOWN,0,,
<=49,F,ASIAN - CHINESE,OTHER,0,,
<=49,F,ASIAN - CHINESE,Other,0,,
<=49,F,ASIAN - CHINESE,UNKNOWN,0,,
<=49,F,BLACK/AFRICAN AMERICAN,OTHER,0,,
<=49,F,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
<=49,F,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
<=49,F,OTHER,OTHER,0,,
<=49,F,UNABLE TO OBTAIN,OTHER,0,,
<=49,F,UNABLE TO OBTAIN,UNKNOWN,0,,
<=49,F,UNKNOWN,OTHER,0,,
<=49,F,WHITE,OTHER,0,,
<=49,F,WHITE - OTHER EUROPEAN,OTHER,0,,
<=49,F,WHITE - OTHER EUROPEAN,Other,0,,
<=49,F,WHITE - OTHER EUROPEAN,UNKNOWN,0,,
<=49,F,WHITE - RUSSIAN,Medicare,0,,
<=49,F,WHITE - RUSSIAN,OTHER,0,,
<=49,F,WHITE - RUSSIAN,Other,0,,
<=49,M,ASIAN,OTHER,0,,
<=49,M,ASIAN - CHINESE,OTHER,0,,
<=49,M,ASIAN - CHINESE,Other,0,,
<=49,M,ASIAN - CHINESE,UNKNOWN,0,,
<=49,M,BLACK/AFRICAN AMERICAN,OTHER,0,,
<=49,M,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
<=49,M,OTHER,OTHER,0,,
<=49,M,UNABLE TO OBTAIN,OTHER,0,,
<=49,M,UNKNOWN,OTHER,0,,
<=49,M,WHITE,OTHER,0,,
<=49,M,WHITE - OTHER EUROPEAN,OTHER,0,,
<=49,M,WHITE - OTHER EUROPEAN,Other,0,,
<=49,M,WHITE - RUSSIAN,OTHER,0,,
<=49,M,WHITE - RUSSIAN,Other,0,,
<=49,M,WHITE - RUSSIAN,UNKNOWN,0,,
50-64,F,ASIAN,Medicare,0,,
50-64,F,ASIAN,OTHER,0,,
50-64,F,ASIAN,UNKNOWN,0,,
50-64,F,ASIAN - CHINESE,OTHER,0,,
50-64,F,ASIAN - CHINESE,Other,0,,
50-64,F,ASIAN - CHINESE,UNKNOWN,0,,
50-64,F,BLACK/AFRICAN AMERICAN,OTHER,0,,
50-64,F,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
50-64,F,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
50-64,F,OTHER,OTHER,0,,
50-64,F,UNABLE TO OBTAIN,OTHER,0,,
50-64,F,UNABLE TO OBTAIN,Other,0,,
50-64,F,UNKNOWN,OTHER,0,,
50-64,F,WHITE,OTHER,0,,
50-64,F,WHITE - OTHER EUROPEAN,OTHER,0,,
50-64,F,WHITE - OTHER EUROPEAN,UNKNOWN,0,,
50-64,F,WHITE - RUSSIAN,OTHER,0,,
50-64,F,WHITE - RUSSIAN,Other,0,,
50-64,F,WHITE - RUSSIAN,UNKNOWN,0,,
50-64,M,ASIAN,OTHER,0,,
50-64,M,ASIAN - CHINESE,OTHER,0,,
50-64,M,ASIAN - CHINESE,UNKNOWN,0,,
50-64,M,BLACK/AFRICAN AMERICAN,OTHER,0,,
50-64,M,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
50-64,M,OTHER,OTHER,0,,
50-64,M,UNABLE TO OBTAIN,OTHER,0,,
50-64,M,UNKNOWN,OTHER,0,,
50-64,M,WHITE,OTHER,0,,
50-64,M,WHITE - OTHER EUROPEAN,OTHER,0,,
50-64,M,WHITE - RUSSIAN,Medicare,0,,
50-64,M,WHITE - RUSSIAN,OTHER,0,,
50-64,M,WHITE - RUSSIAN,Other,0,,
65-79,F,ASIAN,OTHER,0,,
65-79,F,ASIAN,Other,0,,
65-79,F,ASIAN,UNKNOWN,0,,
65-79,F,ASIAN - CHINESE,OTHER,0,,
65-79,F,ASIAN - CHINESE,Other,0,,
65-79,F,ASIAN - CHINESE,UNKNOWN,0,,
65-79,F,BLACK/AFRICAN AMERICAN,OTHER,0,,
65-79,F,BLACK/AFRICAN AMERICAN,UNKNOWN,0,,
65-79,F,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
65-79,F,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
65-79,F,OTHER,OTHER,0,,
65-79,F,UNABLE TO OBTAIN,OTHER,0,,
65-79,F,UNABLE TO OBTAIN,UNKNOWN,0,,
65-79,F,UNKNOWN,OTHER,0,,
65-79,F,WHITE - OTHER EUROPEAN,OTHER,0,,
65-79,F,WHITE - OTHER EUROPEAN,Other,0,,
65-79,F,WHITE - RUSSIAN,OTHER,0,,
65-79,F,WHITE - RUSSIAN,Other,0,,
65-79,F,WHITE - RUSSIAN,UNKNOWN,0,,
65-79,M,ASIAN,OTHER,0,,
65-79,M,ASIAN,Other,0,,
65-79,M,ASIAN - CHINESE,OTHER,0,,
65-79,M,ASIAN - CHINESE,UNKNOWN,0,,
65-79,M,BLACK/AFRICAN AMERICAN,OTHER,0,,
65-79,M,BLACK/AFRICAN AMERICAN,UNKNOWN,0,,
65-79,M,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
65-79,M,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
65-79,M,OTHER,OTHER,0,,
65-79,M,UNABLE TO OBTAIN,OTHER,0,,
65-79,M,UNKNOWN,OTHER,0,,
65-79,M,WHITE,OTHER,0,,
65-79,M,WHITE - OTHER EUROPEAN,OTHER,0,,
65-79,M,WHITE - OTHER EUROPEAN,Other,0,,
65-79,M,WHITE - RUSSIAN,OTHER,0,,
65-79,M,WHITE - RUSSIAN,Other,0,,
65-79,M,WHITE - RUSSIAN,UNKNOWN,0,,
80+,F,ASIAN,OTHER,0,,
80+,F,ASIAN,Other,0,,
80+,F,ASIAN,Private,0,,
80+,F,ASIAN,UNKNOWN,0,,
80+,F,ASIAN - CHINESE,OTHER,0,,
80+,F,ASIAN - CHINESE,Other,0,,
80+,F,ASIAN - CHINESE,Private,0,,
80+,F,BLACK/AFRICAN AMERICAN,OTHER,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,Other,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,Private,0,,
80+,F,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
80+,F,OTHER,OTHER,0,,
80+,F,OTHER,Other,0,,
80+,F,UNABLE TO OBTAIN,Medicaid,0,,
80+,F,UNABLE TO OBTAIN,OTHER,0,,
80+,F,UNABLE TO OBTAIN,Other,0,,
80+,F,UNKNOWN,OTHER,0,,
80+,F,WHITE,OTHER,0,,
80+,F,WHITE - OTHER EUROPEAN,Medicaid,0,,
80+,F,WHITE - OTHER EUROPEAN,OTHER,0,,
80+,F,WHITE - OTHER EUROPEAN,Other,0,,
80+,F,WHITE - OTHER EUROPEAN,UNKNOWN,0,,
80+,F,WHITE - RUSSIAN,OTHER,0,,
80+,F,WHITE - RUSSIAN,Private,0,,
80+,F,WHITE - RUSSIAN,UNKNOWN,0,,
80+,M,ASIAN,OTHER,0,,
80+,M,ASIAN,Other,0,,
80+,M,ASIAN,Private,0,,
80+,M,ASIAN,UNKNOWN,0,,
80+,M,ASIAN - CHINESE,OTHER,0,,
80+,M,ASIAN - CHINESE,Other,0,,
80+,M,ASIAN - CHINESE,Private,0,,
80+,M,ASIAN - CHINESE,UNKNOWN,0,,
80+,M,BLACK/AFRICAN AMERICAN,OTHER,0,,
80+,M,BLACK/AFRICAN AMERICAN,UNKNOWN,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,OTHER,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,Other,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,Private,0,,
80+,M,HISPANIC/LATINO - PUERTO RICAN,UNKNOWN,0,,
80+,M,OTHER,OTHER,0,,
80+,M,UNABLE TO OBTAIN,OTHER,0,,
80+,M,UNABLE TO OBTAIN,Other,0,,
80+,M,UNABLE TO OBTAIN,Private,0,,
80+,M,UNKNOWN,OTHER,0,,
80+,M,WHITE,OTHER,0,,
80+,M,WHITE - OTHER EUROPEAN,Medicaid,0,,
80+,M,WHITE - OTHER EUROPEAN,OTHER,0,,
80+,M,WHITE - OTHER EUROPEAN,Other,0,,
80+,M,WHITE - RUSSIAN,OTHER,0,,
80+,M,WHITE - RUSSIAN,Other,0,,
80+,M,WHITE - RUSSIAN,Private,0,,
80+,M,WHITE - RUSSIAN,UNKNOWN,0,,
